0,8
1,3
2,12
3,8
4,6
5,9
6,11
7,7
8,4
9,8
10,4
11,4
12,3
13,5
14,8
15,3
16,10
17,3
18,3
19,3
20,1
21,2
22,5
23,1
24,5
25,1
26,5
27,9
28,10
29,3
30,12
31,1
32,1
33,10
34,3
35,6
36,4
37,12
38,5
39,5
40,3
41,5
42,7
43,3
44,4
45,1
46,11
47,9
48,4
49,3
50,6
51,1
52,12
53,7
54,10
55,2
56,6
57,1
58,8
59,1
60,7
61,10
62,10
63,4
64,7
65,3
66,5
67,3
68,12
69,12
70,8
71,3
72,12
73,11
74,7
75,7
76,5
77,4
78,7
79,10
80,4
81,5
82,7
83,8
84,4
85,8
86,5
87,3
88,6
89,3
90,7
91,5
92,3
93,11
94,4
95,4
96,10
97,3
98,4
99,1
100,12
101,9
102,3
103,2
104,1
105,9
106,6
107,4
108,8
109,6
110,9
111,9
112,1
113,10
114,7
