0,9
1,9
2,9
3,9
4,9
5,1
6,1
7,1
8,1
9,1
10,11
11,11
12,11
13,11
14,11
15,4
16,4
17,4
18,4
19,4
20,1
21,1
22,1
23,1
24,1
25,2
26,2
27,2
28,2
29,2
30,7
31,7
32,7
33,5
34,7
35,11
36,11
37,11
38,11
39,11
40,2
41,2
42,2
43,2
44,2
45,6
46,6
47,6
48,6
49,6
50,10
51,10
52,10
53,10
54,10
55,14
56,14
57,14
58,14
59,14
60,6
61,6
62,6
63,6
64,6
65,4
66,4
67,4
68,4
69,4
70,12
71,12
72,12
73,12
74,12
75,10
76,10
77,10
78,10
79,10
80,7
81,7
82,7
83,7
84,7
85,8
86,8
87,8
88,8
89,8
90,3
91,3
92,3
93,3
94,3
95,14
96,14
97,14
98,14
99,14
100,10
101,10
102,10
103,10
104,10
105,1
106,1
107,1
108,1
109,1
110,8
111,8
112,8
113,8
114,8
115,5
116,5
117,5
118,5
119,5
120,13
121,13
122,13
123,13
124,13
